Luxilon Big Banger Alu Power 1.25,265,22,19,25,13,1,20,19,17,1.71
MSV Focus - HEX® 1.23,205,20,12,22,15,12,30,23,19,3.6
Topspin Cyber Flash 1.25,203,20,17,21,16,11,23,22,19,3.38
Signum Pro Poly Plasma 1.18,186,11,16,25,19,12,20,28,19,3
WeissCANNON Ultra Cable 1.23,174,23,11,23,10,10,35,23,19,2.33
Signum Pro Poly Plasma 1.23,172,24,11,23,15,9,18,32,19,3
Luxilon Big Banger Alu Power Rough 1.25,154,18,20,24,9,3,28,16,16,1.64
Babolat Pro Hurricane Tour 17,120,16,16,14,8,3,23,14,13,1.19
Yonex Poly Tour Pro 125 16L,120,20,14,23,18,23,18,21,19,3.11
Signum Pro Tornado 1.23,116,11,15,23,17,12,32,21,19,1.73
Babolat Pro Hurricane 17,115,21,14,15,7,1,12,17,12,1.5
WeissCANNON Scorpion 1.22,106,22,14,33,22,21,16,31,23,3.2
Head Sonic Pro 17,105,16,11,11,7,15,5,3,10,1.17
Luxilon Big Banger Ace 18,101,13,13,28,25,18,27,23,21,2.31
MSV Focus - HEX® 1.10,100,6,15,19,16,16,31,13,17,3.2
WeissCANNON Silverstring 1.20,98,23,14,26,23,24,19,30,23,3
MSV Focus - HEX® 1.18,94,14,10,22,12,7,30,18,16,3.07
Luxilon Big Banger Original 16,93,30,17,26,12,4,22,26,19,2.33
Head Rip Control 16,91,10,2,24,18,21,14,11,14,2.5
Kirschbaum Touch Turbo 1.25,91,15,22,20,21,18,19,19,19,3.38
WeissCANNON Red Ghost 1.18,86,5,20,18,21,22,22,16,18,2.17
Tecnifibre Black Code 17,86,11,12,20,14,16,26,11,16,1.83
Isospeed Professional 17,86,2,23,23,26,27,16,7,17,2.67
Yonex Poly Tour Spin 1.25,85,28,10,28,11,9,34,27,18,2.08
Topspin Cyber Blue 1.25,85,15,22,16,17,26,14,20,19,3.18
Head IntelliTour 17,84,8,18,26,25,22,18,8,18,2.17
Tecnifibre X-One Biphase 17,82,5,20,24,30,32,17,19,19,1.93
Babolat RPM Blast 17,81,10,10,19,11,6,25,4,12,1
Solinco Tour Bite 16L,78,19,11,27,15,5,31,24,19,2.25
Pro's Pro Intense Heat 1.25,77,12,19,12,11,10,14,11,13,
Tecnifibre Pro RedCode 17,77,16,11,23,16,11,15,17,16,1.91
Dyreex Black Edge 1.25,76,19,24,20,17,15,27,15,20,3.15
Pro's Pro Cyber Power 17,76,16,9,20,12,4,16,20,14,
WeissCANNON Explosiv! 1.30,74,42,27,16,28,37,3,18,18,1.93
Kirschbaum Super Smash 1.25,73,6,13,15,12,4,13,1,8,1.57
Kirschbaum Pro Line No. II 1.25,72,15,12,17,17,15,13,16,15,1.83
Head Rip Control 17,72,6,3,26,24,24,17,12,16,2.88
Pro's Pro Blackout 1.24,71,11,9,19,10,7,26,9,13,
Wilson Sensation 16,71,42,6,9,15,25,1,0,8,1.38
Genesis Black Magic 17,69,12,8,16,17,18,16,15,15,2.62
WeissCANNON Fire Stroke 1.20,67,18,19,19,13,10,26,20,18,
MSV Co-Focus 1.18,66,18,18,24,19,19,21,20,20,3.73
Tourna Poly Big Hitter Black 7 17,62,10,5,21,12,17,31,11,15,2.44
MSV Co-Focus 1.23,61,12,14,19,15,12,18,17,15,2.93
Kirschbaum Pro Line No. II 1.20,59,13,15,22,24,21,17,15,18,2.17
Prince Synthetic Gut DF 16,59,1,1,10,10,14,7,3,6,2.25
Gamma Moto 17,58,12,12,21,15,9,30,23,18,
WeissCANNON Blue Rock 'n Power 1.20,57,22,8,24,4,3,35,25,17,
Babolat Pro Hurricane 16,53,25,10,14,3,2,15,19,12,1.5
Pacific Poly Force 17,53,24,17,25,16,7,16,29,19,2.55
Polystar Energy 16L,52,11,20,13,16,20,13,2,13,2.24
WeissCANNON Turbotwist 1.18,52,10,17,21,15,16,26,17,17,1.92
Signum Pro Poly Plasma 1.28,51,23,12,16,11,2,12,29,15,2.44
Signum Pro Tornado 1.17,50,6,19,20,16,13,30,20,18,1.67
Polystar Energy 17,48,20,22,13,17,23,12,2,16,2.59
Babolat XCel 16,48,2,9,15,18,28,1,9,11,1
Kirschbaum P² 1.25,47,11,15,19,10,7,15,18,14,
Prince Tournament Nylon 15L,47,1,3,3,2,7,1,4,42,0
Völkl Power-Fiber II 17,46,8,10,12,10,17,5,8,8,0.85
Kirschbaum Spiky Shark 1.25,46,13,11,21,11,8,31,13,16,1.83
WeissCANNON Silverstring 1.25,45,22,9,24,20,22,12,24,19,2.45
Oehms Black Pearl 1.23,45,11,17,19,17,17,16,14,16,
Signum Pro Plasma HEXtreme 1.25,45,19,9,21,9,11,29,21,17,
MSV Hepta-TWIST 1.25,45,21,12,20,16,16,30,17,19,2.45
Tier One T1 Firewire 1.20,44,12,9,24,16,16,35,21,19,3
Signum Pro Hyperion 1.24,44,12,18,24,19,18,12,26,18,2.1
Genesis Twisted Razor 16L,44,16,5,21,12,12,29,20,16,2.4
Völkl V-Xplosion 1.30,44,23,8,15,4,4,8,14,11,
Pro's Pro Vendetta 1.25,43,14,6,9,6,10,11,8,9,
Kirschbaum Super Smash 1.30,43,15,15,14,3,8,17,2,8,1.71
Topspin Cyber Blue 1.20,43,21,16,22,16,15,19,17,18,3.06
Gosen OG-Sheep Micro 17,42,3,7,13,19,21,13,8,12,4.25
Genesis True Grit 1.23,42,18,5,19,16,17,22,14,16,2.3
Babolat RPM Blast 16,41,17,7,19,11,8,32,5,14,1.18
Pro's Pro Cyber Spin 1.30,41,18,2,15,9,42,30,15,13,
Isospeed Control 16,41,9,10,27,27,36,9,8,18,2.89
Babolat Ballistic Polymono 17,41,15,6,14,3,1,12,2,7,2
Grapplesnake Cube 1.18,40,19,23,21,13,12,37,28,22,
Luxilon Adrenaline 1.25,40,13,9,18,8,4,14,14,11,
Polyfibre Poly-Hightec 1.20,40,8,29,14,15,19,15,9,15,2.44
Signum Pro Firestorm® 1.25,39,13,22,17,12,14,5,16,14,
Kirschbaum Competition 1.20,39,10,14,27,20,12,20,23,18,3.71
Isospeed Axon multi 1.25,39,5,11,15,20,24,8,1,11,
Solinco Tour Bite 17,37,14,8,25,11,3,35,21,17,2
Prince Beast XP 1.25,37,13,20,19,21,23,14,19,18,1.79
Pro's Pro Red Devil 1.19,37,6,17,17,18,17,12,13,14,
Kirschbaum Pro Line No. II 1.15,37,11,17,24,24,19,21,10,18,2.17
Babolat Pro Hurricane Tour 16,37,19,9,16,9,5,23,13,14,1.19
Tier One T1 Firewire 1.25,36,13,9,23,17,11,32,18,18,2.78
Solinco Tour Bite Soft 1.20,36,7,14,16,11,18,29,10,15,1.83
Signum Pro Plasma Pure 1.23,36,23,14,24,20,15,18,25,20,3.11
Topspin Ferox Trianglestring 1.27,36,13,9,14,10,10,27,14,14,
Solinco Tour Bite 18,35,5,14,25,15,10,34,21,18,2.08
WeissCANNON 6StarString Supercharged 1.30,35,2,16,19,18,25,14,17,16,
Wilson NXT Tour 16,35,3,12,24,25,28,8,9,16,1.38
Oehms Black Pearl Extreme 1.23,35,5,20,15,16,14,26,5,14,
Solinco Hyper-G 16L,34,16,5,25,13,11,30,24,17,2.17
Völkl Cyclone 17,34,12,4,23,7,6,28,14,12,3
Tier One Tour Status 1.25,34,14,10,24,22,19,25,18,19,3
Topspin Cyber Flash 1.20,34,12,21,17,13,11,21,20,16,2.88
Babolat Powergy 16,34,1,19,23,26,21,14,14,17,2
Tecnifibre Razor Code 1.25,33,16,6,20,16,11,12,19,14,1.25
Luxilon Savage Black 1.27,33,16,8,18,7,1,18,13,11,1.23
Babolat VS Team 17,33,2,26,27,35,37,22,23,24,0.68
Grapplesnake Excellent Purple 1.25,32,12,1,22,18,20,5,23,14,
WeissCANNON Power Principle 1.20,32,12,24,8,11,14,7,12,13,
Pro's Pro Red Devil 1.24,32,9,14,14,18,18,13,11,14,
Topspin Culex Octastring 1.27,32,10,3,13,4,3,18,14,8,
Luxilon 4G 1.25,31,18,5,24,12,7,11,26,13,1.12
Topspin Cyber MAX ROTation 1.27,31,9,11,10,7,1,29,9,11,
MSV Soft-Control 1.25,31,1,14,14,22,26,10,11,14,
Babolat VS Touch 16,30,3,27,28,37,38,13,23,24,1
Kirschbaum Competition 1.25,30,17,14,21,14,10,16,17,16,3.14
WeissCANNON Mosquito Bite 1.16,30,6,12,20,16,16,22,17,16,
Isospeed Axon mono 1.25,30,11,8,12,4,9,5,19,10,
Gamma Zo Magic 16,30,14,8,10,1,6,7,8,6,0.8
Isospeed Pyramid 1.30,29,21,8,14,5,7,30,42,12,
Tier One Durafluxx 1.23,29,20,4,23,13,16,23,21,17,2.67
Tecnifibre X-One Biphase 16,29,3,15,21,28,31,17,11,18,1.79
Prince Tour 17,29,17,9,19,12,3,16,14,13,2.71
Topspin Sensus Squarestring 1.27,29,13,2,8,7,8,9,12,9,
Gosen OG-Sheep Micro 16,29,3,2,14,13,15,1,1,6,2.25
Pro's Pro Plus Power 1.18,28,11,19,17,18,11,20,11,15,
Kirschbaum Super Smash 1.20,28,1,21,16,8,4,21,7,11,2.14
MSV Focus - HEX® Ultra 1.20,28,15,11,21,11,18,25,22,17,
Kirschbaum Helix 1.25,28,11,17,20,14,12,21,18,16,
Topspin Cyber Blue 1.30,28,22,10,21,15,14,15,19,17,2.82
Wilson NXT 16,28,5,13,17,28,28,8,1,13,1.12
WeissCANNON Black5Edge 1.24,28,18,11,24,15,18,28,27,20,
Isospeed Energetic 16,28,12,14,17,21,24,10,13,16,2.3
Polystar Classic 16L,28,6,14,16,10,13,16,1,10,
Topspin Cyber Twirl Black 1.27,28,16,13,18,10,9,32,22,17,
Polyfibre TCS 1.20,28,12,15,13,10,13,20,8,13,1.29
Kirschbaum Super Smash Spiky 1.25,28,2,14,14,12,1,28,6,8,1.71
Head Ultra Tour 17,28,15,1,21,7,3,11,17,10,1.08
Pro's Pro Plus Power 1.28,27,22,21,18,19,12,17,22,19,
Pro's Pro Vendetta 1.30,27,21,12,17,15,15,15,17,16,
Polystar Turbo 1.25,27,8,22,15,10,17,30,4,15,
Oehms Volcano Heat 1.24,26,10,6,21,23,17,16,18,16,
Gamma Moto 16,26,16,15,14,9,11,30,19,16,
Tyger Rebound 1.25,26,14,13,13,6,9,12,17,12,
Yonex Poly Tour Pro 120 17,25,19,12,24,22,29,23,17,21,3.33
Babolat Tour Duralast 1.30,25,26,1,14,9,5,12,9,9,
Oehms Black Pearl Extreme 1.27,25,13,17,11,10,11,20,8,13,
Isospeed Energetic 17,25,7,11,16,13,18,13,17,14,1.9
Gamma iO 16,25,16,14,17,12,15,2,15,13,
Head PWR Fusion 16,25,16,25,11,11,26,13,10,16,
Tourna Poly Big Hitter Silver 17,25,20,15,25,19,13,19,20,19,2.7
Topspin Culex Squarestring 1.27,25,3,3,4,2,10,20,6,7,
Tecnifibre X.Code 16,25,11,13,14,13,18,8,12,10,
Kirschbaum Super Smash Spiky 1.275,25,10,14,12,8,2,24,42,10,2.14
RAJ Poly-Twist 1.23,25,7,11,4,1,13,14,1,7,
MSV Synthetic Gut Energy-X 16,25,5,15,15,19,22,9,4,11,
Kirschbaum Pro Line Evolution 17,24,24,12,26,27,28,20,24,23,
Mantis Comfort Synthetic 16,24,42,7,11,20,29,4,4,10,1.75
Pro's Pro Claycourt Plus 1.29,24,4,6,14,18,21,14,7,11,
MSV Focus - HEX® Ultra 1.25,24,19,10,18,6,5,25,22,15,
Pacific Force 17,24,18,16,22,16,14,18,21,18,
Prince Beast XP 16,24,22,13,22,16,20,14,27,19,1.86
Topspin Sensus Rotation 1.31,24,13,4,5,4,2,18,11,7,
Gamma Zo Verve 17,24,8,6,24,10,12,23,20,15,1.17
Topspin Cyber Red 1.24,24,21,11,20,10,8,11,15,14,
Babolat Revenge 1.25,24,13,11,25,10,3,15,13,13,1.06
Signum Pro Micronite 1.27,23,42,21,18,27,26,1,12,15,
Solinco Hyper-G 17,23,18,3,21,15,16,29,21,18,2.17
Gamma Poly-Z 17,23,7,5,12,4,8,4,3,6,
Wilson Sensation 17,23,13,4,15,19,23,8,1,8,1.5
Prince Synthetic Gut DF 17,23,12,4,13,15,13,12,4,7,2.5
Pro's Pro Hexaspin 1.25,23,16,12,15,7,8,24,8,13,
Head FXP 17,23,5,14,23,26,26,18,9,16,2.09
Topspin Ferox Roundstring 1.25,23,1,4,1,9,11,6,12,3,
Signum Pro Plasma Pure 1.18,23,8,14,21,16,18,18,20,16,2.67
Topspin Cyber Black 1.23,23,8,9,18,10,8,15,13,12,
Mantis Power Polyester 17,23,20,19,17,9,12,18,16,16,2.44
Head Rip PerfectControl 1.30,23,1,3,28,24,22,16,15,16,1.57
Mantis Power Synthetic 17,23,6,18,5,14,21,4,13,11,1.78
Gamma Asterisk 16,23,3,13,7,16,18,9,1,10,0.93
Mayami Tour Hex 1.23,22,22,9,34,27,23,32,26,25,4.43
Mayami Big Spin 1.25,22,21,15,24,24,25,38,23,24,3.93
Head Lynx 1.25,22,6,15,18,18,22,15,15,16,1.83
Ytex Quadro Twist Black 1.25,22,16,1,15,4,12,24,7,11,1.31
Tecnifibre NRG2 17,22,3,13,26,27,27,16,10,17,1.92
Kirschbaum Super Smash Spiky 1.30,22,13,13,13,6,1,23,1,10,2
Genesis Typhoon 16L,22,16,14,17,8,8,26,19,15,2.2
Head FXP 16,22,6,3,19,16,15,10,7,11,1.45
Leopard D-Stroyer 1.25,22,18,15,10,2,11,4,11,10,
Gamma Jet 17,21,15,17,19,13,16,23,16,17,3
Mantis Tri-Spin Polyester 16,21,12,1,18,13,15,25,8,13,
Tier One Durafluxx 1.18,21,13,1,28,13,17,27,20,17,2.67
Tier One T1 Firewire 1.30,21,8,10,23,17,14,33,26,19,3
Pro's Pro Plus Power 1.23,21,15,23,20,15,2,25,17,17,
Tecnifibre Multifeel 16,21,7,7,21,22,31,11,15,14,2.33
Topspin Cyber Flash 1.30,21,22,17,21,13,9,21,21,18,3.12
Kirschbaum Pro Line No. II 1.30,21,25,11,25,17,21,15,22,19,2.33
Polyfibre Viper 1.25,21,14,24,13,17,26,15,12,17,1.92
Luxilon Big Banger Alu Power Fluoro 17,21,13,15,22,14,11,17,9,15,1.24
Dunlop M-Fil Tour 16,21,4,5,5,8,10,3,2,4,0.86
Babolat Ballistic Polymono 16,21,17,17,7,2,1,11,18,10,2.8
Luxilon Big Banger Alu Power Spin 1.27,20,8,12,23,9,1,27,4,11,0.86
Pro Supex Blue Gear 1.25,20,13,1,23,6,2,36,10,13,2
Polyfibre Poly-Hightec 1.10,20,7,24,15,22,17,23,1,14,2.11
Tyger RoughPoly 1.25,20,42,11,8,5,14,20,2,9,
Tyger Xtouch 1.30,20,8,11,17,20,27,9,17,16,
Still in Black Select 16L,20,16,6,23,13,16,17,23,16,1.77
SuperString Extreme Turbo Stiff V6 1.20,20,16,10,18,5,8,29,4,13,
Wilson Reaction 16,20,6,6,11,15,15,1,15,10,1.37
Völkl V-Rex 16L,20,20,1,13,4,1,6,4,6,0.8
Kirschbaum Max. Power 1.25,19,21,15,32,16,12,15,25,19,
MSV Focus - HEX® 1.27,19,27,7,21,7,4,29,26,17,3.33
Babolat XCel 17,19,15,11,24,24,27,8,2,12,1.06
Polyfibre Panthera 1.25,19,21,11,23,22,21,16,6,11,
Luxilon M2 Pro 16L,19,7,11,26,15,17,16,7,14,1
Polyfibre TCS 1.25,19,17,14,17,14,12,20,7,14,1.43
Prince Synthetic Gut Original 16,19,1,1,14,15,13,10,4,8,2.75
Gamma TNT2 Touch 16,19,11,15,14,15,23,8,10,14,1.14
Luxilon Big Banger Ti-Mo 17,19,27,15,28,9,3,21,19,17,1.85
Prince Lightning XX 16,19,1,18,9,21,16,10,4,11,2.67
Pro's Pro Inferno 16,19,3,8,17,21,22,9,9,12,
Signum Pro X-perience 1.24,18,14,23,19,21,23,27,16,20,
Isospeed Professional+ 1.20,18,2,18,21,22,24,12,8,15,
Isospeed Black Fire 1.25,18,22,12,33,23,5,18,29,20,
Tecnifibre X-One Biphase 18,18,21,17,20,29,33,10,10,14,1.38
Isospeed Control+ 1.30,18,4,18,30,28,37,11,9,20,
Tecnifibre Pro RedCode 1.20,18,3,15,24,15,7,16,16,14,1.74
Pro's Pro Black Force 1.14,18,12,18,24,19,21,26,13,16,
Genesis Black Magic 16,18,16,9,16,13,15,10,17,14,2.38
Polyfibre Black Venom 1.25,18,7,14,21,23,23,22,9,17,1.85
Luxilon Big Banger Original Rough 16,18,27,9,19,5,1,21,16,14,1.67
